Column1,pred,months,Absolute
15,-0.432462738,April,0.432462738
51,-0.378584017,November,0.378584017
32,-0.357290761,November,0.357290761
44,-0.347094947,November,0.347094947
7,-0.336312143,April,0.336312143
5,-0.327067663,November,0.327067663
26,0.326516033,November,0.326516033
9,-0.300007502,April,0.300007502
0,-0.295192657,August,0.295192657
42,-0.288065538,July,0.288065538
24,-0.284664637,July,0.284664637
3,-0.279213139,April,0.279213139
28,-0.262853077,November,0.262853077
47,-0.262352744,July,0.262352744
39,-0.262244035,March,0.262244035
33,0.26008809,February,0.26008809
4,-0.254826147,July,0.254826147
23,-0.25471592,March,0.25471592
20,-0.247009095,October,0.247009095
52,-0.246078959,October,0.246078959
14,-0.242454789,April,0.242454789
2,-0.242340861,July,0.242340861
27,-0.237779994,July,0.237779994
22,-0.234946271,November,0.234946271
17,-0.234443394,August,0.234443394
30,-0.232089838,April,0.232089838
45,-0.228137298,April,0.228137298
6,-0.220919116,August,0.220919116
11,-0.219733162,July,0.219733162
19,0.219684067,November,0.219684067
62,-0.216281037,April,0.216281037
36,0.208508201,August,0.208508201
56,-0.208127982,April,0.208127982
49,-0.205711114,August,0.205711114
50,0.204033821,November,0.204033821
53,-0.199560563,April,0.199560563
55,-0.199275864,August,0.199275864
25,-0.198295678,April,0.198295678
31,-0.194525799,March,0.194525799
34,-0.194339249,April,0.194339249
8,-0.189824201,March,0.189824201
13,0.184769487,November,0.184769487
16,-0.181749715,August,0.181749715
37,-0.178399748,May,0.178399748
58,-0.177641048,April,0.177641048
63,-0.174713913,August,0.174713913
18,-0.174582708,April,0.174582708
46,-0.170672829,April,0.170672829
40,-0.154305374,March,0.154305374
29,-0.153543744,July,0.153543744
35,-0.151340757,October,0.151340757
10,0.149405718,November,0.149405718
12,-0.149384648,April,0.149384648
21,-0.14938211,August,0.14938211
43,-0.147449162,April,0.147449162
59,-0.146394152,March,0.146394152
38,-0.145558792,March,0.145558792
64,-0.134800204,April,0.134800204
48,-0.131714678,November,0.131714678
41,-0.130814339,September,0.130814339
61,0.125650362,September,0.125650362
60,-0.123431301,July,0.123431301
57,-0.116434769,July,0.116434769
1,-0.100675231,April,0.100675231
54,0.082949229,May,0.082949229
