Column1,pred,months,absolute
40,0.471572262,April,0.471572262
9,0.460743084,April,0.460743084
30,0.415811252,November,0.415811252
57,-0.412588853,November,0.412588853
44,0.37651756,April,0.37651756
2,0.375274411,April,0.375274411
13,-0.370622813,October,0.370622813
52,0.359170927,April,0.359170927
32,0.351662019,November,0.351662019
17,0.346473466,April,0.346473466
38,0.342350831,March,0.342350831
59,0.336240804,April,0.336240804
37,-0.335768607,November,0.335768607
20,0.327708946,May,0.327708946
25,0.327278394,August,0.327278394
46,0.318319977,November,0.318319977
51,0.312168871,August,0.312168871
64,0.302924939,April,0.302924939
47,0.297918097,May,0.297918097
3,-0.28771307,November,0.28771307
28,0.287005797,November,0.287005797
63,-0.285744956,August,0.285744956
6,0.285307418,May,0.285307418
60,0.281725459,February,0.281725459
26,-0.279009479,January,0.279009479
56,0.278421904,May,0.278421904
21,0.276946276,November,0.276946276
18,0.274142099,April,0.274142099
34,0.273633744,November,0.273633744
36,0.269795392,April,0.269795392
62,0.269283617,April,0.269283617
22,0.262382623,April,0.262382623
43,0.258376413,March,0.258376413
42,0.2583417,October,0.2583417
35,0.256749022,November,0.256749022
31,0.254417403,September,0.254417403
23,0.251211859,November,0.251211859
58,-0.250539152,February,0.250539152
39,-0.247676989,December,0.247676989
8,0.242184916,October,0.242184916
50,0.240073117,March,0.240073117
14,0.239015432,January,0.239015432
15,0.234243871,August,0.234243871
11,0.233898223,April,0.233898223
12,0.232526537,April,0.232526537
29,-0.230158674,April,0.230158674
16,0.226531473,July,0.226531473
45,-0.223823696,February,0.223823696
5,0.221199264,July,0.221199264
54,-0.220866903,February,0.220866903
33,0.220116953,April,0.220116953
7,0.219856246,November,0.219856246
0,0.219655863,August,0.219655863
19,-0.211591968,March,0.211591968
4,-0.208372802,July,0.208372802
41,-0.206109535,December,0.206109535
55,-0.2057166,December,0.2057166
1,0.202488272,August,0.202488272
53,-0.197748938,November,0.197748938
48,0.179079326,November,0.179079326
10,0.17831881,July,0.17831881
24,0.172665179,March,0.172665179
61,-0.166031495,December,0.166031495
27,0.152740778,July,0.152740778
49,-0.119644883,February,0.119644883
