Column1,pred,month,absolute
47,0.414684344,March,0.414684344
38,0.399541931,August,0.399541931
31,0.395644315,July,0.395644315
6,0.373743787,April,0.373743787
29,0.368669638,April,0.368669638
17,0.359013809,July,0.359013809
63,0.358569841,May,0.358569841
60,0.341636571,July,0.341636571
55,0.34099923,November,0.34099923
24,-0.328784088,October,0.328784088
32,0.328028511,April,0.328028511
5,0.324652307,July,0.324652307
15,0.319373651,November,0.319373651
33,-0.317475682,July,0.317475682
40,0.315435324,March,0.315435324
25,0.31537894,December,0.31537894
27,0.312620849,November,0.312620849
58,0.306367963,April,0.306367963
12,0.306149824,August,0.306149824
37,-0.305918239,May,0.305918239
46,0.301651607,April,0.301651607
57,0.299479337,April,0.299479337
44,-0.297710804,October,0.297710804
21,0.297000974,August,0.297000974
54,0.296246744,July,0.296246744
62,-0.291870078,May,0.291870078
61,-0.284503278,October,0.284503278
19,0.28294281,March,0.28294281
20,-0.279695252,January,0.279695252
42,-0.276080784,October,0.276080784
18,-0.271000502,January,0.271000502
39,-0.268296629,March,0.268296629
28,0.264522467,January,0.264522467
35,0.262742265,November,0.262742265
30,-0.258818162,May,0.258818162
36,0.258473658,February,0.258473658
0,0.257946365,July,0.257946365
16,0.25110176,February,0.25110176
45,-0.249088348,January,0.249088348
2,0.248280761,April,0.248280761
64,-0.239994333,September,0.239994333
22,0.237375891,July,0.237375891
41,-0.23206262,October,0.23206262
23,0.231714011,July,0.231714011
26,0.231073188,November,0.231073188
7,0.228567089,January,0.228567089
8,0.22780594,November,0.22780594
9,-0.226273919,March,0.226273919
48,0.223280381,April,0.223280381
1,0.220524152,September,0.220524152
56,0.215360715,August,0.215360715
14,0.205679147,July,0.205679147
52,-0.19232055,January,0.19232055
11,-0.191474601,July,0.191474601
4,0.190183818,April,0.190183818
51,0.187669853,February,0.187669853
49,0.184672953,September,0.184672953
13,0.179926926,July,0.179926926
34,-0.17473634,December,0.17473634
53,0.165490487,November,0.165490487
43,-0.161563503,August,0.161563503
3,0.151181324,August,0.151181324
50,-0.148775887,October,0.148775887
59,0.141093756,February,0.141093756
10,0.136948994,October,0.136948994
