year,January,February,March,April,May,June,July,August,September,October,November,December
1975,0.24624115,0.25672653,1.1315434,1.4214666,2.0922425,1.6168791,1.525132,1.2142948,0.7709498,0.7480768,0.62341774,0.44237337
1976,0.17125833,0.1771791,0.807249,1.4780521,1.2411487,1.827355,1.419433,1.162406,0.3972827,-1.0888385,-0.56974673,-0.093576714
1977,0.05651497,-0.97190386,-0.65904385,-0.067056246,0.37519115,0.9818017,0.6685245,0.19574322,-0.6257368,-0.31255922,-0.07130717,-0.1854624
1978,-0.94086033,-0.94010603,-1.7414438,-2.5730114,-4.2101536,-4.9787087,-5.1645164,-5.011902,-3.5779114,-2.850821,-1.9478003,-1.9502896
1979,-0.02931332,-0.9173978,-0.015617204,-0.17270127,0.10362804,-0.007562448,0.1731334,0.3327446,0.28561595,0.17369066,0.22107129,0.6870944
1980,0.007131519,-1.412186,-1.3207833,-0.8789878,-0.24497388,-0.4328587,-0.10846168,-0.69662243,-0.81252897,-1.1243396,-1.0088474,-1.3661586
1981,-1.5176983,-1.4679061,-1.1284112,-1.1770178,-0.5394593,-0.49985293,-0.4362939,-0.17617266,-0.107049905,0.049785428,-0.307484,0.054230727
1982,-0.5459594,-0.47881538,-1.3822808,-1.1972405,-0.7416841,-0.46192366,0.0323043,-0.5040416,-0.5607146,-0.6043306,-0.59556395,-0.73153156
1983,-0.57748634,-0.5801103,0.16525206,-0.5910492,-0.035150986,-0.60833824,-0.35924602,-0.08222951,-0.062303156,-0.54805064,-0.41124687,-0.20785281
1984,-0.10009133,-0.6382692,-0.1460225,-0.35417634,0.30509382,-0.245487,-0.22685236,-0.067836516,-0.44104257,-0.89728117,-0.63479674,-0.5797452
1985,-0.09244116,-0.9425236,-0.7684516,-0.3453227,-0.28767183,0.31002378,-0.10320268,0.08705233,-0.14165893,-0.48100603,-0.6176719,-0.23330879
1986,0.041214623,0.6123938,-0.45106545,-0.5107873,-0.098903716,-0.3427237,-0.18286605,-0.107528575,-0.51516736,0.46970537,-0.29913825,-0.3479285
1987,-0.2632549,-0.4962873,-1.0176939,-0.59763706,-0.6377064,-0.03458686,0.14422992,-0.35578698,-0.63523275,-0.22386916,-0.100252956,0.5080706
1988,0.47998825,0.28490332,0.6837738,0.281231,0.7370024,0.6364743,0.49156255,0.5099211,0.39129943,0.40764555,1.2918662,0.6944282
1989,0.24648196,0.9246505,1.0732653,0.6506791,0.20746927,0.12496323,0.3179453,0.7951167,0.80257064,0.8382855,0.24109069,1.3185111
1990,0.8822985,0.6988772,0.7214908,0.6983711,0.79146,0.83723754,0.17876403,-0.121936664,-0.31944516,-0.51360375,-0.6022977,-0.46990922
1991,-0.5171462,-0.528423,-0.44485566,-0.41319743,-0.57252103,-0.003605693,0.11205183,-0.13199742,-0.15297675,-0.4549386,-0.88907766,-0.63741225
1992,-0.8317018,-1.1160499,-0.9617949,-1.4997222,-1.1388254,-0.87057376,-0.86400515,-1.3170232,-1.223676,-1.0731069,-1.1235126,-1.2080783
1993,-1.2552955,-0.93535537,-1.6044904,-1.2878631,-1.0482873,-0.6469257,-0.8590547,-0.8335332,-1.1743745,-1.2672371,-1.5633585,-1.5210829
1994,-1.1983638,-1.9081249,-1.8897144,-0.95003664,-1.1520091,-0.4978636,-0.6886419,-1.1726856,3.6683295,-1.3065972,-2.7835016,-2.9458127
1995,-3.0509748,0.6998485,-0.401671,0.59182775,-0.24354124,0.08488372,0.28766748,0.5249782,0.0594254,0.30634165,0.21645209,-0.30482063
1996,-0.25666985,0.3191821,-0.25844234,0.27794704,-0.55775964,-0.5084905,-0.27193254,0.3302162,-0.013588272,-0.33827826,0.49088243,0.062251847
1997,-0.53332645,-0.4497518,0.16111585,-0.650749,-0.504368,0.1457563,-0.29432887,-0.2956715,-0.08602225,-0.26094246,0.20585309,-0.34641832
1998,-0.10139723,0.34060237,-0.43407315,-0.06829396,-0.26460454,0.31458026,0.1971355,0.055594545,-0.45953754,-0.42485115,-0.22349788,-0.38152316
1999,-0.7824202,-0.95639557,-1.1700789,-1.3640027,-0.97386646,-0.7818357,-0.7216895,-0.47766325,-0.8022739,-1.1658616,-1.3125788,-1.3267131
2000,-1.6035174,-1.277668,-1.1308886,-1.4252995,-1.1132936,-0.82098633,-0.9451551,-0.92050254,-1.2704861,-1.8587662,-1.3626794,-1.2789481
2001,-1.4727327,-1.710085,-0.7610522,-0.9029935,-0.25286195,-0.27507123,-0.093463,-0.216227,-0.24391948,-0.52606577,-0.10670943,0.13559943
2002,-0.24669498,-0.80664366,0.19738138,-0.5666742,0.3515866,-0.3390083,-0.024745364,0.001449111,0.056699462,0.40945902,0.001143965,-0.27002326
2003,0.055357255,0.70750237,0.6811873,0.67267853,0.6541733,0.39967608,0.58625966,0.7479904,0.63177526,1.0991297,0.9604282,1.2352434
2004,1.3554146,1.0692505,1.5738999,1.8156492,0.5203744,0.4399019,0.2354631,0.3950639,0.3629497,0.8514175,0.5499353,0.6691079
2005,1.4103273,1.163166,0.6133599,0.5643684,0.65320116,0.7321898,0.8617683,0.7150156,0.80633175,1.3106263,1.2901069,1.7717723
2006,1.1411449,1.0588623,1.0492994,1.070704,0.6446053,0.59970796,0.35326478,0.7020415,0.71549255,0.94967514,1.3777589,0.952352
2007,1.6189659,1.5960478,1.2587947,1.4221054,1.0382247,0.95706654,1.0542058,0.89440346,0.6960107,1.6144218,1.5297936,1.1898568
2008,0.33111548,0.97584164,1.470822,1.4122936,0.96857935,0.25806668,0.6667715,0.63132185,0.6324723,0.96390593,1.2608664,1.1509991
2009,1.2889897,1.187764,0.6190568,0.7247225,1.2731274,0.6251892,0.9703211,0.8654288,0.74950117,1.6728994,1.4484247,1.2645427
2010,1.4607203,1.8984969,1.8253685,1.1251036,1.0581197,0.41477904,0.048740443,0.59324497,0.8060764,1.3604116,1.2979933,1.1344956
2011,1.215396,1.4592177,1.4716405,1.0499023,0.47289246,0.57939756,1.0936133,1.1628287,0.8587042,0.91909635,1.01052,0.9913905
2012,1.019483,1.0118412,0.9419324,0.5946825,0.7899932,0.6368839,0.16546227,0.2200913,0.5346077,1.3020592,1.043851,0.72148484
2013,1.3096247,0.4773268,0.6135455,0.64582807,-0.067496374,0.14629753,-0.049147137,0.38583338,0.5670774,0.7148984,0.35372794,0.85508573
2014,0.8343784,0.61226714,0.5172994,0.28323728,0.12268734,-0.07307197,-0.08783236,0.22139701,-0.08914845,0.36136198,0.08121287,0.076711565
2015,0.30074632,0.17528939,-0.15956613,0.1103164,-0.15120381,-0.12798382,-0.099619545,-0.16002867,-0.38935333,0.36470306,0.10814805,-0.011520752
2016,0.44459,0.8271455,0.27016345,0.7026632,0.43512347,-0.11173992,-0.003085282,-0.09481111,-0.08889311,0.43401673,0.9265425,0.48244277
