JJAS_MEAN,JUNE,JULY,AUGUST,SEPTEMBER
-0.317204301,-0.253405995,-0.02688172,-0.068965517,-0.520969856
0.564516129,0.433242507,0.134408602,0.090185676,0.593053735
0.010752688,-0.11852861,0.139784946,-0.23872679,-0.219528178
0.532258065,0.138964578,0.317204301,1.151193634,0.403014417
0.134408602,0.298365123,-0.043010753,0.063660477,0.173656619
-0.172043011,0.110354223,0.387096774,0.344827586,0.403014417
-0.188172043,-0.257493188,-0.548387097,-0.450928382,-0.501310616
-0.510752688,-0.441416894,-0.107526882,-0.090185676,-0.075360419
0.129032258,0.474114441,0.150537634,0.350132626,0.520969856
-1.048387097,-0.081743869,-0.752688172,-0.328912467,-0.671690695
-0.333333333,-0.441416894,-0.462365591,-0.551724138,-0.304718218
0.279569892,0.192098093,0.301075269,0.700265252,0.167103539
0.02688172,-0.032697548,-0.172043011,-0.233421751,-0.199868938
0.650537634,0.621253406,0.295698925,-0.212201592,0.285058978
0.97311828,0.788828338,0.860215054,1.145888594,0.501310616
-0.446236559,0.163487738,-0.182795699,-0.387267905,-0.278505898
